"","Intro_2","Intro_3","Intro_4_moderators_1","Intro_4_moderators_2","Intro_4_moderators_3","Intro_6_10","Intro_6_11","Intro_6_12","Intro_6_13","Intro_7_1","price","Price_attribute","Style_attribute","Sust_attribute","Quality_attribute","Helping_Env","Eco_fr_material","costs_more","how_fashionable","likely_purchase","groups","Age","Gender","Income","Education"
"92","2","2","8","5","5","50","10","10","30","20","121","10","20","10","60","4","2","8","4","2","B","24","1","7","5"
"93","1","1","6","6","6","30","30","10","30","50","40","30","30","10","30","1","4","3","3","2","A","27","1","7","4"
"94","1","6","8","8","8","20","50","10","20","100","140","10","40","20","30","4","4","10","4","4","B","59","2","8","7"
"95","1","6","6","5","6","30","30","10","30","35","35","30","35","20","15","2","4","4","4","3","A","23","1","7","4"
"96","1","1","8","5","5","30","30","10","30","100","75","50","20","10","20","4","4","8","3","3","B","23","2","1","4"
"97","1","6","6","4","8","0","20","40","40","20","0","0","0","50","50","1","4","3","3","1","A","28","1","4","4"
"98","1","1","6","8","5","30","30","20","20","41","120","30","30","20","20","4","2","9","4","4","B","22","2","2","4"
"99","1","1","6","6","6","40","20","0","40","15","20","60","20","0","20","2","3","3","3","1","A","50","2","5","4"
"100","2","4","8","5","6","80","20","0","0","62","89","80","20","0","0","4","4","8","3","3","B","25","1","1","4"
"101","2","3","6","5","6","20","70","5","5","137","44","50","50","0","0","3","3","3","2","2","A","47","2","8","4"
"102","1","1","6","6","5","25","35","15","25","140","50","25","35","15","25","4","3","8","2","2","B","27","2","8","5"
"103","2","2","6","4","4","20","40","20","20","120","60","10","20","10","60","1","2","2","3","3","A","26","2","4","5"
"104","1","3","8","6","8","10","10","70","10","30","20","10","10","50","30","3","4","4","3","3","A","22","2","4","2"
"105","2","6","6","5","4","40","40","0","20","61","72","30","50","0","20","3","1","7","4","4","B","29","2","3","5"
"106","2","1","5","5","4","10","20","10","60","20","50","30","20","0","50","3","2","7","2","1","B","41","1","5","4"
"107","1","3","6","8","8","40","25","10","25","90","40","50","25","15","10","1","4","5","3","1","A","39","1","4","1"
"108","1","1","8","8","6","30","20","20","30","70","60","40","20","25","15","1","5","9","3","1","B","47","1","5","1"
"109","1","1","3","5","6","30","20","20","30","12","28","20","30","30","20","3","2","2","3","3","A","25","1","7","5"
"110","1","2","8","6","6","20","30","30","20","104","32","30","50","0","20","1","4","4","4","2","A","36","1","4","5"
"111","2","2","6","8","5","30","40","15","15","129","103","10","40","20","30","4","4","9","4","4","B","35","2","4","4"
"112","2","1","6","6","8","40","10","10","40","55","45","30","10","10","50","1","3","3","3","2","A","54","2","3","1"
"113","1","2","6","6","5","20","10","20","50","81","90","20","10","50","20","5","4","9","3","4","B","45","2","4","2"
"114","1","2","6","6","6","20","20","40","20","101","32","30","20","20","30","2","4","4","3","2","A","37","1","5","5"
"115","2","1","6","6","5","40","40","10","10","61","83","20","40","25","15","4","3","8","3","3","B","44","1","6","5"
"116","2","1","4","5","5","40","30","0","30","60","50","25","55","0","20","3","1","3","2","1","A","52","1","7","2"
